DATE OF DISASTER,TYPE OF DISASTER,COUNTIES INVOLVED
20-Aug-23,Hurricane Hilary,"Fresno, Imperial, Inyo, Kern, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Siskiyou, Tulare, and Ventura"
15-Aug-23,"Fires (Smith River Complex, Happy Camp Complex)","Del Norte, Siskiyou"
February-March 2023,Severe winter storms,"Alameda, Alpine, Amador, Butte, Calaveras, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Imperial, Inyo, Kern, Kings, Lake, Los Angeles, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Solano, Sonoma, Stanislaus, Trinity, Tulare, Tuolumne, Ventura, Yolo, and Yuba"
"December 27, 2022 – January 2023",Severe winter storms,All 58 counties
20-Dec-22,Earthquake,Humboldt
9-Sep-22,Tropical Storm Kay,"Imperial, Inyo, Los Angeles, Riverside, and San Bernardino"
Sep-22,"Fires (Barnes, Fork, and Mountain Fires)","Madera, Modoc, and Siskiyou"
Sep-22,Fires (Fairview and Mosquito Fires),"El Dorado, Placer, and Riverside"
Sep-22,Fire (Mill Fire),Siskiyou
31-Aug-22,Fire (Route Fire),Los Angeles
"August 1-7, 2022",Storm System,Alpine and Inyo
Jul-22,"Fires (McKinney, China 2, and Evans fires)",Siskiyou
Jul-22,Fire (Oak Fire),Mariposa
Jul-22,Fire (Colorado Fire),Monterey
Jul-22,Fire (Alisal Fire),Santa Barbara
12-Jun-22,Storm System,Plumas and Tehama
Jan-22,Fire (Colorado Fire),Monterey
Dec-21,Winter Storms,"Alameda, Amador, Calaveras, El Dorado, Humboldt, Lake, Los Angeles, Marin, Monterey, Napa, Nevada, Orange, Placer, Sacramento, San Bernardino, San Luis Obispo, San Mateo, Santa Cruz, Sierra, Trinity, and Yuba."
Oct-21,Storms,"Amador, Butte, Contra Costa, Glenn, Humboldt, Lake, Marin, Mendocino, Monterey, Napa, Placer, Plumas, San Francisco, Solano, Sonoma, and Trinity"
Oct-21,Drought,All 58 counties
22-Sep-21,Fire (Fawn Fire),Shasta
7-Sep-21,Fire (Cache Fire),Lake
30-Aug-21,Fire (Caldor Fire),"Alpine, Amador, and Placer"
17-Aug-21,Fire (Caldor Fire),El Dorado
10-Aug-21,"Fires (Dixie, McFarland and Monument Fires)","Shasta, Tehama, and Trinity"
5-Aug-21,Fires (Antelope and River Fires),"Nevada, Placer, and Siskiyou"
23-Jul-21,"Fires (Dixie, Fly, and Tamarack Fires)","Alpine, Butte, Lassen, and Plumas"
June - July 2021,Fires (Beckwourth Complex and Lava Fires),"Lassen, Plumas, and Siskiyou"
8-Jul-21,Drought,"Inyo, Marin, Mono, Monterey, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, and Santa Cruz"
10-May-21,"Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed","Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Kern, Kings, Lake, Lassen, Madera, Mariposa, Merced, Modoc, Napa, Nevada, Placer, Plumas, Sacramento, San Benito, San Joaquin, Shasta, Sierra, Siskiyou, Solano, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Yolo, and Yuba"
21-Apr-21,Drought – Russian River Watershed,Mendocino and Sonoma
29-Jan-21,Winter Storms,Monterey and San Luis Obispo
18-Jan-21,Windstorm,Madera and Mariposa
17-Nov-20,Fire (Mountain View Fire),Mono
27-Sep-20,Fires (Glass and Zogg Fires),"Napa, Shasta, Sonoma"
Sep-20,"Fires (Slater, Bobcat, and Oak Fires)","Del Norte, Los Angeles, Mendocino"
8-Sep-20,Fires (Slater Fire and other fires),Siskiyou
"September 4-5, 2020","Fires (Creek, El Dorado, and Valley Fires)","Fresno, Madera, Mariposa, San Bernardino, San Diego"
Aug-20,Fires,All 58 counties
27-Oct-19,High winds and wildfires,All 58 counties
25-Oct-19,Wildfires (Kincade and Tick Fires),Los Angeles and Sonoma
10-Oct-19,Wildfire (Saddleridge Fire),Los Angeles
10-Oct-19,"Wildfires (Eagle, Sandalwood, Reche, and Wolf fires)",Riverside
"July 4-5, 2019",Earthquakes,Kern and San Bernardino
"July 4-5, 2019",Earthquakes,Kern and San Bernardino
January-February 2019,Winter storms,"Amador, Calaveras, El Dorado, Glenn, Humboldt, Lake, Los Angeles, Marin, Mendocino, Modoc, Mono, Monterey, Orange, Riverside, San Bernardino, San Diego, San Mateo, Santa Barbara, Santa Clara, Shasta, Sonoma, Tehama, Trinity, Ventura, Yolo"
Nov-18,Wildfire (Hill & Woolsey Fires),Los Angeles and Ventura
Nov-18,Wildfire (Camp Fire),Butte
Aug-18,Wildfire (Holy Fire),Orange and Riverside
Jul-18,"Wildfires (River, Ranch, and Steele Fires)","Lake, Mendocino, Napa"
Jul-18,Wildfire (Ferguson Fire),Mariposa
Jul-18,Wildfires (Cranston & Carr Fire),Riverside and Shasta
Jul-18,Monsoonal Rainstorms,San Bernardino
Jul-18,Wildfire (Holiday Fire),Santa Barbara
Jul-18,Wildfire (West Fire),San Diego
Jul-18,Wildfire (Klamathon Fire),Siskiyou
Jun-18,Wildfire (Pawnee Fire),Lake
Mar-18,Winter Storms,"Amador, Fresno, Kern, Mariposa, Merced, Stanislaus, Tulare, Tuolumne."
Dec-17,Wildfire (Thomas Fire),Santa Barbara
Dec-17,Wildfire (Lilac Fire),San Diego
Dec-17,Wildfires (Creek and Rye Fires),Los Angeles
Dec-17,Wildfire (Thomas Fire),Ventura
Oct-17,Flooding (melting of snowpack),Inyo and Mono
Oct-17,Wildfire (Atlas),Solano
Oct-17,"Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.)","Butte, Lake, Mendocino, Nevada, Orange"
Oct-17,Wildfires (Tubbs & Atlas Fire),"Napa, Sonoma, Yuba"
Sep-17,"Wildfires ( Railroad Fire, Pier Fire, Mission Fire, and Peak Fire)","Madera, Mariposa, Tulare"
Sep-17,Wildfire (La Tuna Fire),Los Angeles
Sep-17,Wildfire (Ponderosa Fire),Butte
Aug-17,Wildfire (Helena Fire),Trinity
Jul-17,Wildfires,Modoc
Jul-17,Wildfire (Detwiler Fire),Mariposa
Jul-17,Wildfire (Alamo & Whittier Fire),Santa Barbara
Jul-17,Wildfire (Wall Fire),Butte
Feb-17,Lake Oroville Dam Erosion and Flooding,"Butte, Sutter, Yuba"
Jan-17,Storm System,"Alameda, Alpine, Amador, Butte, Calaveras, Contra Costa, Del Norte, El Dorado, Fresno, Humboldt, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba"
Dec-16,Rainstorms,"Del Norte, Humboldt, Mendocino, Santa Cruz, Shasta, Trinity"
16-Aug-16,Wildfire (Blue Cut Fire),San Bernardino
13-Aug-16,Wildfire (Clayton Fire),Lake
13-Aug-16,Wildfire (Chimney Fire),San Luis Obispo
22-Jul-16,Wildfire (Sand Fire),Los Angeles
22-Jul-16,Wildfire (Soberanes Fire),Monterey
24-Jun-16,Wildfire (Erskine Fire),Kern
December 2015 – January 2016,Rainstorms (roadway damage),City of Carlsbad and City of Del Mar
23-Oct-15,Aliso Canyon natural gas leak,Los Angeles
Oct-15,Rainstorms,"Inyo, Kern, Los Angeles"
13-Sep-15,Wildfire (Valley Fire),Lake and Napa
11-Sep-15,Wildfire (Butte Fire),Amador and Calaveras
"June-July, 2015",Wildfires,All 58 counties
18-Jul-15,Rainstorms,"Imperial, Kern, Los Angeles, Riverside, San Bernardino, San Diego"
19-May-15,Oil spill,Santa Barbara
6-Feb-15,Winter storms,"Humboldt, Mendocino, Siskiyou"
6-Feb-15,Wildfire,Mono
Dec-14,Winter storms,"Marin, Mendocino, San Mateo, Ventura"
17-Sep-14,Wildfires (King and Boles Fires),El Dorado and Siskiyou
24-Aug-14,Earthquake,"Napa, Solano, Sonoma"
Aug-14,Wildfires,"Amador, Butte, El Dorado, Humboldt, Lassen, Madera, Mariposa, Mendocino, Modoc, Shasta, Siskiyou"
13-May-14,Wildfires,San Diego
Jan-14,Drought,All 58 counties
9-Sep-13,Wildfire,Shasta
