X,Y,OBJECTID,CECPlantID,PlantName,County,Capacity_Latest,StartDate
-119.567892971,36.137169611,1865,S0335,Corcoran 2 Solar LLC CED,Kings,19.8,2015/06/10 00:00:00+00
-119.579712248,36.144318942,1866,S0520,Corcoran 3 Solar,Kings,20.0,2016/02/11 00:00:00+00
-119.128325036,36.2662977900001,1869,S0608,Exeter Solar,Tulare,3.5,2014/02/12 00:00:00+00
-119.133999715,36.211778205,1870,S0609,Lindsay Solar,Tulare,4.0,2014/01/15 00:00:00+00
-119.039943647,36.1037174300001,1871,S9325,ImModo California 1 LLC_(East Orosi 1),Tulare,1.5,2013/12/31 00:00:00+00
-119.038789671,36.1016196,1872,S9326,ImModo California 1 LLC_(East Orosi 2),Tulare,1.5,2013/12/31 00:00:00+00
-119.037347202,36.0997336240001,1873,S9327,ImModo California 1 LLC_(East Orosi 3),Tulare,1.5,2013/12/31 00:00:00+00
-119.03967096,36.1027803650001,1874,S0151,Porterville Solar,Tulare,3.5,2014/01/13 00:00:00+00
-119.036763845,36.0988212250001,1875,S0518,Sequoia PV3,Tulare,3.0,2014/08/01 00:00:00+00
-121.369453077,36.4722828210001,1879,S9163,CA Dept of Correctionns Salinas (SVSP),Monterey,2.0,2013/01/01 00:00:00+00
-120.342306547,36.4234282940001,1882,S0176,Cantua Solar Station,Fresno,20.0,2012/06/19 00:00:00+00
-120.242765264,36.396683244,1883,S0458,Buford Five Points Solar Park (Excelsior),Fresno,60.0,2016/08/23 00:00:00+00
-120.125500599,36.377686243,1884,S0138,Westside Solar Station,Fresno,20.0,2010/08/31 00:00:00+00
-120.107507216,36.3950065870001,1885,S0140,Five Points Solar Station,Fresno,15.0,2011/10/24 00:00:00+00
-120.136150994,36.3817484320001,1886,S0563,Westside Solar LLC,Fresno,20.0,2017/03/08 00:00:00+00
-120.136326598,36.3750812120001,1887,S0564,Whitney Point Solar LLC,Fresno,20.0,2017/04/14 00:00:00+00
-119.741843909,36.403326427,1888,S9018,Warmer Packing LLC,Kings,1.0,2012/01/01 00:00:00+00
-119.630804612,36.3064720150001,1889,S0517,Sequoia PV2,Tulare,3.0,2014/08/29 00:00:00+00
-119.60868408,36.471758907,1890,S9033,Jackson Michael,Fresno,1.0,2012/01/01 00:00:00+00
-119.61294115,36.467041904,1891,S9076,George Jackson,Fresno,1.0,2012/01/01 00:00:00+00
-119.40077663,36.3544619520001,1892,S0222,RE North Face,Tulare,1.0,2009/04/01 00:00:00+00
-119.348656701,36.3059959500001,1893,S0633,Visalia USD El Diamante HS,Tulare,1.01,2017/05/25 00:00:00+00
-119.345838982,36.472249429,1894,S9038,Beret & Kees Jan De Jong,Tulare,1.0,2012/01/01 00:00:00+00
-119.255181313,36.3873530660001,1897,S0348,Ivanhoe Solar,Tulare,3.5,2014/01/17 00:00:00+00
-119.213900818,36.318379355,1898,S0516,Farmersville (Formerly Sequoia PV1),Tulare,12.0,2019/01/01 00:00:00+00
-119.213239684,36.3185481740001,1899,S0693,Tulare (Formerly Sequoia PV1),Tulare,3.0,2019/01/01 00:00:00+00
-121.789048226,36.6477504640001,1904,S9028,CSU Monterey Bay - PV,Monterey,1.0,2012/01/01 00:00:00+00
-121.913274262,36.57971873,1905,S9063,Community Hospital of Monterey Peninsula,Monterey,1.0,2012/01/01 00:00:00+00
-121.647127237,36.6594173770001,1906,S9071,Salinas Valley Memorial Hospital,Monterey,1.0,2012/01/01 00:00:00+00
-121.434017923,36.5033540410001,1907,S9040,Wines US Inc. Constellation,Monterey,1.0,2012/01/01 00:00:00+00
-120.888185545,36.6312738190001,1910,S0635,Panoche Valley Solar,San Benito,140.0,2017/12/29 00:00:00+00
-120.339147058,36.5534762610001,1915,S0588,Buford Giffen Solar,Fresno,20.0,2017/06/16 00:00:00+00
-120.313610438,36.5296086700001,1916,S0178,Giffen Solar Station,Fresno,10.0,2012/06/30 00:00:00+00
-120.385045904,36.6155305620001,1917,S0312,Adams East  LLC,Fresno,19.0,2014/12/01 00:00:00+00
-120.400614487,36.5779859290001,1918,S0526,Tranquillity LLC,Fresno,200.0,2016/07/28 00:00:00+00
-120.345299617,36.5483346980001,1919,S0605,Giffen Solar Park LLC,Fresno,20.0,2017/05/22 00:00:00+00
-120.345451239,36.548366554,1920,S0616,Aspiration Solar,Fresno,9.0,2017/09/13 00:00:00+00
-120.383269626,36.578348127,1921,S0653,Great Valley Solar Portfolio (Tranquillity 8),Fresno,200.0,2017/12/26 00:00:00+00
-120.123022103,36.523913646,1923,S0139,Stroud Solar Station,Fresno,20.0,2011/10/26 00:00:00+00
-120.101740941,36.616061712,1924,S0425,Fresno Solar South,Fresno,1.5,2015/10/01 00:00:00+00
-120.104472915,36.6170036730001,1925,S0426,Fresno Solar West,Fresno,1.5,2015/10/01 00:00:00+00
-120.149463504,36.5255442980001,1926,S0654,Summer Wheat,San Joaquin,18.5,2018/12/10 00:00:00+00
-119.922119476,36.672102812,1928,S9012,Golden State Vintners,Fresno,1.0,2012/01/01 00:00:00+00
-119.752441316,36.613493061,1929,S9085,Fowler Packing Company Inc.,Fresno,1.0,2012/01/01 00:00:00+00
-119.753949936,36.6134577290001,1930,S9086,Fowler Packing Company Inc.,Fresno,1.0,2012/01/01 00:00:00+00
-119.523353703,36.6117348940001,1931,S9034,Maxco Supply Inc.,Fresno,1.0,2012/01/01 00:00:00+00
-119.571910513,36.546170837,1932,S9181,Kingsburg Solar (1 & 2),Fresno,3.7,2013/12/01 00:00:00+00
-119.573446175,36.6544402690001,1933,S9190,Pristine Sun Fund 10 Fresno PGE LLC_(2102_Christensen),Fresno,1.0,2013/12/31 00:00:00+00
-119.313767406,36.54122095,1935,S9320,ImModo California 1 LLC_(Alta 1),Tulare,1.5,2013/12/31 00:00:00+00
-119.313767406,36.54122095,1936,S9321,ImModo California 1 LLC_(Alta 3),Tulare,1.5,2013/12/31 00:00:00+00
-119.313767406,36.54122095,1937,S9322,ImModo California 1 LLC_(Alta 4),Tulare,1.5,2013/12/31 00:00:00+00
-119.313767406,36.54122095,1938,S9323,ImModo California 1 LLC_(Alta 5),Tulare,1.5,2013/12/31 00:00:00+00
-119.313767406,36.54122095,1939,S9324,ImModo California 1 LLC_(Alta 6),Tulare,1.5,2013/12/31 00:00:00+00
-119.415532971,36.668115227,1940,S0302,Terzian,Fresno,1.25,2014/05/01 00:00:00+00
-119.398281255,36.5398599230001,1941,S9000,Ruiz Foods,Tulare,1.0,2012/01/01 00:00:00+00
