,CECPlantID,PlantName,Capacity_Latest,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,COUNTY,ALR_VALB,EAL_VALB,EAL_VALT,RISK_VALUE,RISK_SCORE,RISK_SPCTL,EAL_SPCTL,BUILDVALUE,AREA,DISASTER,DISASTER_DATE
0,S0672,Redway Solar,6.5,40.25,-123.75,2.073,3.1399999999999997,4.213,5.879,6.994,8.129,8.134,6.99,5.51,4.038,2.513,1.7730000000000001,4.957,HUMBOLDT,0.003194815207657,89598217.85234883,118015866.71355072,160484184.97033378,97.00922685332483,58.620689655172406,56.896551724137936,28044882733.0,4093.16359335,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Earthquake, Winter Storms, Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Storm System, Rainstorms, Wildfires, Wildfires, Winter storms, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2022-12-20 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-01-01 00:00:00, 2016-12-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-02-06 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
1,S9052,Community College Mendocino,1.0,39.25,-123.25,2.222,3.3630000000000004,4.397,6.037000000000001,7.064,8.135,7.8549999999999995,6.756,5.55,4.127,2.713,1.936,5.019,MENDOCINO,0.002035000725652,46293634.715409,65526347.92068847,98452313.64403167,95.10022271714922,44.82758620689656,41.3793103448276,22748706736.0,3917.30541813,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Slater, Bobcat, and Oak Fires), Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires (River, Ranch, and Steele Fires), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Storm System, Rainstorms, Wildfires, Wildfires, Winter storms, Winter storms, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-07-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2016-12-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-02-06 00:00:00, 2014-12-01 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
2,S9264,East Side Calpella 2MW PV Project (1) (2012 PV RFO - 1),2.0,39.25,-123.25,2.222,3.3630000000000004,4.397,6.037000000000001,7.064,8.135,7.8549999999999995,6.756,5.55,4.127,2.713,1.936,5.019,MENDOCINO,0.002035000725652,46293634.715409,65526347.92068847,98452313.64403167,95.10022271714922,44.82758620689656,41.3793103448276,22748706736.0,3917.30541813,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Slater, Bobcat, and Oak Fires), Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires (River, Ranch, and Steele Fires), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Storm System, Rainstorms, Wildfires, Wildfires, Winter storms, Winter storms, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-07-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2016-12-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-02-06 00:00:00, 2014-12-01 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
3,S9265,Parducci 2MW PV Project (3) (2012 PV RFO - 1),2.0,39.25,-123.25,2.222,3.3630000000000004,4.397,6.037000000000001,7.064,8.135,7.8549999999999995,6.756,5.55,4.127,2.713,1.936,5.019,MENDOCINO,0.002035000725652,46293634.715409,65526347.92068847,98452313.64403167,95.10022271714922,44.82758620689656,41.3793103448276,22748706736.0,3917.30541813,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Slater, Bobcat, and Oak Fires), Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires (River, Ranch, and Steele Fires), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Storm System, Rainstorms, Wildfires, Wildfires, Winter storms, Winter storms, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-07-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2016-12-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-02-06 00:00:00, 2014-12-01 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
4,S9266,Ruddick-2 2MW PV Project (4) (2012 PV RFO - 1),2.0,39.25,-123.25,2.222,3.3630000000000004,4.397,6.037000000000001,7.064,8.135,7.8549999999999995,6.756,5.55,4.127,2.713,1.936,5.019,MENDOCINO,0.002035000725652,46293634.715409,65526347.92068847,98452313.64403167,95.10022271714922,44.82758620689656,41.3793103448276,22748706736.0,3917.30541813,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Slater, Bobcat, and Oak Fires), Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires (River, Ranch, and Steele Fires), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Storm System, Rainstorms, Wildfires, Wildfires, Winter storms, Winter storms, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-07-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2016-12-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-02-06 00:00:00, 2014-12-01 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
5,S9015,County of Lake,1.0,39.25,-122.75,2.2990000000000004,3.526,4.577,6.295,7.397,8.361,8.258,7.098000000000001,5.79,4.273000000000001,2.784,2.004,5.229,LAKE,0.001919462441759,27314305.36269876,38144373.228402,55851247.72257346,91.91854915685651,34.48275862068966,31.034482758620687,14230184852.0,1342.84835646,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Winter Storms, Storms, Drought, Fire (Cache Fire), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires (River, Ranch, and Steele Fires), Wildfire (Pawnee Fire), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Storm System, Wildfire (Clayton Fire), Wildfire (Valley Fire), Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-09-07 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-07-01 00:00:00, 2018-06-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2016-08-13 00:00:00, 2015-09-13 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
6,S9055,Clos Du Bois Wines Inc.,1.0,38.75,-122.75,2.4370000000000003,3.6519999999999997,4.6450000000000005,6.299,7.325,8.24,7.970000000000001,6.894,5.75,4.3149999999999995,2.934,2.131,5.2219999999999995,SONOMA,0.002069308893296,216471444.88535005,332662982.07867235,379595361.49068016,99.17276487432387,81.03448275862067,81.03448275862067,104610503336.0,1785.7891077,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Glass and Zogg Fires), Fires, High winds and wildfires, Wildfires (Kincade and Tick Fires), Winter storms, Winter storms, Wildfires (Tubbs & Atlas Fire), Storm System, Wildfires, Wildfires, Earthquake, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-27 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-10-25 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-24 00:00:00, 2014-01-01 00:00:00, "
7,S9057,Codding Enterprises Ltd Partnership,1.0,38.25,-122.75,2.4370000000000003,3.6519999999999997,4.6450000000000005,6.299,7.325,8.24,7.970000000000001,6.894,5.75,4.3149999999999995,2.934,2.131,5.2219999999999995,SONOMA,0.002069308893296,216471444.88535005,332662982.07867235,379595361.49068016,99.17276487432387,81.03448275862067,81.03448275862067,104610503336.0,1785.7891077,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Glass and Zogg Fires), Fires, High winds and wildfires, Wildfires (Kincade and Tick Fires), Winter storms, Winter storms, Wildfires (Tubbs & Atlas Fire), Storm System, Wildfires, Wildfires, Earthquake, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-27 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-10-25 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-24 00:00:00, 2014-01-01 00:00:00, "
8,S9024,Codding Enterprises,1.0,38.25,-122.75,2.4370000000000003,3.6519999999999997,4.6450000000000005,6.299,7.325,8.24,7.970000000000001,6.894,5.75,4.3149999999999995,2.934,2.131,5.2219999999999995,SONOMA,0.002069308893296,216471444.88535005,332662982.07867235,379595361.49068016,99.17276487432387,81.03448275862067,81.03448275862067,104610503336.0,1785.7891077,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Glass and Zogg Fires), Fires, High winds and wildfires, Wildfires (Kincade and Tick Fires), Winter storms, Winter storms, Wildfires (Tubbs & Atlas Fire), Storm System, Wildfires, Wildfires, Earthquake, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-27 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-10-25 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-24 00:00:00, 2014-01-01 00:00:00, "
9,S9051,Power Agency Northern California,1.0,38.75,-122.75,2.4370000000000003,3.6519999999999997,4.6450000000000005,6.299,7.325,8.24,7.970000000000001,6.894,5.75,4.3149999999999995,2.934,2.131,5.2219999999999995,LAKE,0.001919462441759,27314305.36269876,38144373.228402,55851247.72257346,91.91854915685651,34.48275862068966,31.034482758620687,14230184852.0,1342.84835646,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Winter Storms, Storms, Drought, Fire (Cache Fire), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires (River, Ranch, and Steele Fires), Wildfire (Pawnee Fire), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Storm System, Wildfire (Clayton Fire), Wildfire (Valley Fire), Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-09-07 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-07-01 00:00:00, 2018-06-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2016-08-13 00:00:00, 2015-09-13 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
